"","cancion","popularidad","artista","artista_completo","album","top_pais","puesto","bailabilidad","energia","nota_musical","volumen","modo","hablado","acustico","instrumental","en_vivo","positividad","tempo","duracion","tiempo_compas","fecha"
"16","Te Vi",88,"Piso 21","Piso 21 feat. Micro Tdh","Te Vi","El Top 50 de Uruguay",16,0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,231848,4,"2018-12-14"
"17","Imposible",70,"Luis Fonsi","Luis Fonsi feat. Ozuna","VIDA","El Top 50 de Uruguay",17,0.783,0.738,11,-4.078,1,0.0741,0.127,0,0.127,0.925,90.976,164533,4,"2019-02-01"
"18","Me Voy",72,"Rombai","Rombai","Me Voy","El Top 50 de Uruguay",18,0.531,0.752,9,-3.33,0,0.2,0.214,0,0.145,0.884,192.443,177787,4,"2018-09-28"
"19","Ya No Tiene Novio",79,"Sebastian Yatra","Sebastian Yatra feat. Mau y Ricky","Ya No Tiene Novio","El Top 50 de Uruguay",19,0.632,0.832,7,-1.948,0,0.154,0.048,0,0.0705,0.784,182.184,198933,4,"2018-08-10"
"20","Un Año",85,"Sebastian Yatra","Sebastian Yatra feat. Reik","Un Año","El Top 50 de Uruguay",20,0.771,0.382,1,-6.808,0,0.0514,0.148,0,0.104,0.535,94.931,164440,4,"2019-01-18"
"21","Ella Quiere Beber - Remix",56,"Anuel Aa","Anuel Aa feat. Romeo Santos","Ella Quiere Beber (Remix)","El Top 50 de Uruguay",21,0.751,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.698,95.239,219357,4,"2018-11-02"
"22","NI BIEN NI MAL",82,"Bad Bunny","Bad Bunny","X 100PRE","El Top 50 de Uruguay",22,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,236216,4,"2018-12-23"
"23","Puntos Suspensivos",79,"Piso 21","Piso 21","Ubuntu","El Top 50 de Uruguay",23,0.823,0.731,11,-3.399,0,0.103,0.175,0,0.131,0.952,152.024,186316,4,"2018-05-11"
"24","Créeme",82,"Karol G","Karol G feat. Maluma","Créeme","El Top 50 de Uruguay",24,0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,212493,4,"2018-11-02"
"25","Leña para el Carbón - Remix",23,"FIESTA!","FIESTA!","Éxitos (Fiestero Remix)","El Top 50 de Uruguay",25,0.615,0.787,8,-4.742,0,0.108,0.062,2.1e-06,0.0707,0.869,203.932,143805,4,"2019-01-19"
