"","cancion_nombre","cancion_popularidad","cancion_artista","cancion_artista_completo","cancion_album","cancion_numero","pais_nombre","feature_bailabilidad","feature_energia","feature_clave","feature_fuerza","feature_modo","feature_hablado","feature_acustico","feature_instrumental","feature_en_vivo","feature_positividad","feature_tempo","feature_duracion_ms","feature_tiempo_compas","album_fecha"
"11","Reggaeton",82,"J Balvin","J Balvin","Reggaeton",11,"Uruguay",0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-05,0.101,0.552,176.059,158800,4,"2018-11-17"
"12","MIA (feat. Drake)",87,"Bad Bunny","Bad Bunny feat. Drake","MIA (feat. Drake)",12,"Uruguay",0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4,"2018-10-11"
"13","Adictiva",83,"Daddy Yankee","Daddy Yankee feat. Anuel Aa","Adictiva",13,"Uruguay",0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853,4,"2018-11-09"
"14","Amanece",86,"Anuel Aa","Anuel Aa feat. Haze","Amanece",14,"Uruguay",0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,190005,4,"2018-12-14"
"15","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",88,"DJ Snake","DJ Snake feat. Selena Gomez feat. Ozuna feat. Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",15,"Uruguay",0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4,"2018-09-28"
"16","Sin Culpa (feat. DrefQuila)",75,"Duki","Duki feat. DrefQuila","Sin Culpa (feat. DrefQuila)",16,"Uruguay",0.641,0.652,8,-8.575,0,0.264,0.42,1.74e-06,0.094,0.406,175.022,244771,4,"2018-12-07"
"17","Te Vi",87,"Piso 21","Piso 21 feat. Micro Tdh","Te Vi",17,"Uruguay",0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,231848,4,"2018-12-14"
"18","Imposible",69,"Luis Fonsi","Luis Fonsi feat. Ozuna","VIDA",18,"Uruguay",0.783,0.738,11,-4.078,1,0.0741,0.127,0,0.127,0.925,90.976,164533,4,"2019-02-01"
"19","Me Voy",71,"Rombai","Rombai","Me Voy",19,"Uruguay",0.531,0.752,9,-3.33,0,0.2,0.214,0,0.145,0.884,192.443,177787,4,"2018-09-28"
"20","Ya No Tiene Novio",79,"Sebastian Yatra","Sebastian Yatra feat. Mau y Ricky","Ya No Tiene Novio",20,"Uruguay",0.632,0.832,7,-1.948,0,0.154,0.048,0,0.0705,0.784,182.184,198933,4,"2018-08-10"
"21","Un Año",84,"Sebastian Yatra","Sebastian Yatra feat. Reik","Un Año",21,"Uruguay",0.771,0.382,1,-6.808,0,0.0514,0.148,0,0.104,0.535,94.931,164440,4,"2019-01-18"
"22","Ella Quiere Beber - Remix",52,"Anuel Aa","Anuel Aa feat. Romeo Santos","Ella Quiere Beber (Remix)",22,"Uruguay",0.751,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.698,95.239,219357,4,"2018-11-02"
"23","NI BIEN NI MAL",82,"Bad Bunny","Bad Bunny","X 100PRE",23,"Uruguay",0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,236216,4,"2018-12-23"
"24","Puntos Suspensivos",78,"Piso 21","Piso 21","Ubuntu",24,"Uruguay",0.823,0.731,11,-3.399,0,0.103,0.175,0,0.131,0.952,152.024,186316,4,"2018-05-11"
"25","Créeme",82,"Karol G","Karol G feat. Maluma","Créeme",25,"Uruguay",0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,212493,4,"2018-11-02"
"26","Leña para el Carbón - Remix",19,"FIESTA!","FIESTA!","Éxitos (Fiestero Remix)",26,"Uruguay",0.615,0.787,8,-4.742,0,0.108,0.062,2.1e-06,0.0707,0.869,203.932,143805,4,"2019-01-19"
"27","Bubalu",80,"Becky G","Becky G feat. Prince Royce feat. DJ Luian feat. Mambo Kingz feat. Anuel Aa","Bubalu",27,"Uruguay",0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,228493,4,"2018-11-06"
"28","7 rings",86,"Ariana Grande","Ariana Grande","7 rings",28,"Uruguay",0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,178640,4,"2019-01-18"
"29","Tan Bien (feat. Agus Padilla)",68,"Lit Killah","Lit Killah feat. Agus Padilla","Tan Bien (feat. Agus Padilla)",29,"Uruguay",0.784,0.761,10,-4.253,0,0.0343,0.108,5.05e-05,0.05,0.385,105.005,204989,4,"2018-11-29"
"30","Ta To Gucci (Remix)",78,"Cauty","Cauty feat. Brytiago feat. Darell feat. Cosculluela feat. Rafa Pabön feat. Chencho Corleone","Cauty VS Young Cauty",30,"Uruguay",0.73,0.648,1,-6.405,0,0.378,0.383,0.000112,0.103,0.675,187.991,304859,4,"2018-12-07"
"31","Cuando Te Besé",80,"Becky G","Becky G feat. Paulo Londra","Cuando Te Besé",31,"Uruguay",0.772,0.732,9,-3.713,0,0.213,0.307,5.14e-06,0.106,0.295,100.048,254383,4,"2018-08-02"
"32","Solo de Mi",74,"Bad Bunny","Bad Bunny","X 100PRE",32,"Uruguay",0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,197968,4,"2018-12-23"
"33","Sola",77,"Manuel Turizo","Manuel Turizo","Sola",33,"Uruguay",0.704,0.706,11,-5.233,0,0.111,0.483,0,0.0965,0.856,92.965,195044,4,"2018-11-09"
"34","PPP",78,"Kevin Roldan","Kevin Roldan","PPP",34,"Uruguay",0.786,0.65,4,-6.839,1,0.109,0.363,8.17e-05,0.122,0.712,92.975,129040,4,"2018-09-07"
"35","Vaina Loca",82,"Ozuna","Ozuna feat. Manuel Turizo","Aura",35,"Uruguay",0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4,"2018-08-24"
"36","Amigos Con Derechos",75,"Reik","Reik feat. Maluma","Amigos Con Derechos",36,"Uruguay",0.686,0.807,1,-3.324,1,0.0613,0.0481,0,0.0652,0.63,183.971,227476,4,"2018-08-31"
"37","Dile la Verdad",76,"The Rudeboyz","The Rudeboyz feat. Jowell & Randy feat. Manuel Turizo","Dile la Verdad",37,"Uruguay",0.886,0.701,7,-3.504,1,0.141,0.292,1.16e-05,0.0574,0.823,103.002,219029,4,"2019-01-11"
"38","Me Vas a Extrañar - En Vivo",70,"Damas Gratis","Damas Gratis feat. Viru Kumbieron","Me Vas a Extrañar (En Vivo)",38,"Uruguay",0.419,0.809,11,-4.596,1,0.0357,0.323,0,0.699,0.635,88.418,238528,4,"2018-09-07"
"39","Asesina - Remix",79,"Brytiago","Brytiago feat. Daddy Yankee feat. Ozuna feat. Darell feat. Anuel Aa","Asesina (Remix)",39,"Uruguay",0.825,0.69,10,-4.252,0,0.226,0.589,0,0.413,0.516,94.194,327467,4,"2018-10-31"
"40","MALA",77,"6ix9ine","6ix9ine feat. Anuel Aa","DUMMY BOY",40,"Uruguay",0.719,0.825,5,-3.627,0,0.0424,0.689,0,0.103,0.789,100.006,206550,4,"2018-11-27"
"41","BEBE",80,"6ix9ine","6ix9ine feat. Anuel Aa","DUMMY BOY",41,"Uruguay",0.635,0.902,0,-3.559,1,0.109,0.172,0,0.125,0.286,102.063,217822,4,"2018-11-27"
"42","No Es Justo",76,"J Balvin","J Balvin feat. Zion & Lennox","Vibras",42,"Uruguay",0.684,0.811,7,-4.494,1,0.0714,0.161,0.000363,0.0871,0.721,87.866,250840,4,"2018-05-25"
"43","Booty",75,"C. Tangana","C. Tangana feat. Becky G feat. Alizzz","Booty",43,"Uruguay",0.825,0.771,1,-4.116,1,0.0804,0.0167,2.04e-06,0.0901,0.718,102.927,173366,4,"2018-10-24"
"44","Mala Mía",78,"Maluma","Maluma","Mala Mía",44,"Uruguay",0.749,0.752,6,-4.883,1,0.345,0.31,0,0.232,0.901,180.049,183753,4,"2018-08-10"
"45","Hablar Es Gratis",57,"Dame 5","Dame 5 feat. Papichamp","Hablar Es Gratis",45,"Uruguay",0.811,0.682,0,-5.416,0,0.145,0.374,8.51e-05,0.0792,0.753,96.001,166554,4,"2018-12-22"
"46","Control",39,"Agus Padilla","Agus Padilla feat. Ecko","Control",46,"Uruguay",0.72,0.711,6,-5.831,0,0.0792,0.17,4.58e-05,0.0783,0.732,177.937,188764,4,"2018-09-28"
"47","Luz Apaga",75,"Ozuna","Ozuna feat. Lunay feat. Rauw Alejandro feat. Lyanno","Luz Apaga",47,"Uruguay",0.611,0.791,1,-3.558,1,0.173,0.19,3.02e-06,0.12,0.658,192.07,245000,4,"2018-11-16"
"48","Culpables",79,"Karol G","Karol G feat. Anuel Aa","Culpables",48,"Uruguay",0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-06,0.143,0.416,130.059,226627,4,"2018-09-14"
"49","No Lo Entiendo",66,"Bhavi","Bhavi feat. Khea","No Lo Entiendo",49,"Uruguay",0.87,0.542,2,-6.959,1,0.0397,0.248,7.74e-05,0.112,0.323,105.03,176018,4,"2019-01-24"
"50","Sin Pijama",82,"Becky G","Becky G feat. Natti Natasha","Sin Pijama",50,"Uruguay",0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,188560,4,"2018-04-20"
"51","Sola",61,"Luis Fonsi","Luis Fonsi","VIDA",51,"Uruguay",0.737,0.525,6,-6.677,0,0.25,0.509,0,0.0608,0.483,127.97,205053,3,"2019-02-01"
"52","Pim Pum Pam Mamucha",48,"DJ Alex","DJ Alex","Pim Pum Pam Mamucha",52,"Uruguay",0.827,0.781,8,-4.981,0,0.0484,0.0366,2.28e-06,0.0943,0.85,104.257,140612,4,"2019-01-23"
"53","Verte Ir",91,"DJ Luian","DJ Luian feat. Mambo Kingz feat. Anuel Aa feat. Nicky Jam feat. Darell feat. Brytiago","Verte Ir",1,"la Republica Dominicana",0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,267500,4,"2019-03-28"
"54","Qué pasó?",46,"J.Beren","J.Beren feat. Nassim","Qué pasó?",2,"la Republica Dominicana",0.678,0.717,11,-5.365,0,0.245,0.202,0,0.892,0.654,82.201,181084,4,"2019-05-17"
"55","Pa Mí - Remix",80,"Dalex","Dalex feat. Rafa Pabön feat. Khea feat. Sech feat. Cazzu feat. Feid feat. Lenny Tavárez","Pa Mí (Remix)",3,"la Republica Dominicana",0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960,4,"2019-02-07"
"56","Con Calma",95,"Daddy Yankee","Daddy Yankee feat. Snow","Con Calma",4,"la Republica Dominicana",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4,"2019-01-24"
"57","Blurry",42,"Thespaacedoutslackerz","Thespaacedoutslackerz","Blurry EP",5,"la Republica Dominicana",0.733,0.58,11,-8.127,0,0.136,0.0453,0.0369,0.091,0.17,105.034,187455,4,"2019-06-07"
"58","Si Se Da",87,"Myke Towers","Myke Towers feat. Farruko","Si Se Da",6,"la Republica Dominicana",0.83,0.71,11,-5.523,0,0.326,0.374,0,0.0877,0.703,93.977,237013,4,"2019-02-26"
